iter	Passed	Remaining
0	4	410
1	7	373
2	11	361
3	14	351
4	17	334
5	19	301
6	20	275
7	22	257
8	23	242
9	25	229
10	27	218
11	28	210
12	30	202
13	31	195
14	33	189
15	35	183
16	36	179
17	38	176
18	40	171
19	41	166
20	43	163
21	44	158
22	46	154
23	47	149
24	48	145
25	50	142
26	51	138
27	52	135
28	54	132
29	55	129
30	56	126
31	57	123
32	59	120
33	60	117
34	61	114
35	63	112
36	64	109
37	65	107
38	67	104
39	68	102
40	69	100
41	71	98
42	72	95
43	73	93
44	74	91
45	76	89
46	77	87
47	78	85
48	80	83
49	81	81
50	82	79
51	84	77
52	85	75
53	86	73
54	87	71
55	89	70
56	90	68
57	91	66
58	93	64
59	94	63
60	95	61
61	97	59
62	98	57
63	99	56
64	100	54
65	102	52
66	103	50
67	104	49
68	105	47
69	107	46
70	109	44
71	110	43
72	112	41
73	113	39
74	114	38
75	115	36
76	117	35
77	118	33
78	119	31
79	121	30
80	122	28
81	124	27
82	125	25
83	126	24
84	128	22
85	129	21
86	130	19
87	131	17
88	133	16
89	134	14
90	135	13
91	137	11
92	138	10
93	139	8
94	140	7
95	142	5
96	143	4
97	144	2
98	146	1
99	147	0
